bar_dist	l50	sr
10	20.2782	1.153415875
12	23.5956	1.342108255
14	26.913	1.530800635
16	30.2304	1.719493015
18	33.5478	1.908185395
20	36.8652	2.096877775
22	40.1826	2.285570155
24	43.5	2.474262535
26	46.8174	2.662954915
28	50.1348	2.851647296
30	53.4522	3.040339676
32	56.7696	3.229032056
34	60.087	3.417724436
36	63.4044	3.606416816
38	66.7218	3.795109196
40	70.0392	3.983801576
42	73.3566	4.172493956
44	76.674	4.361186336
46	79.9914	4.549878717
48	83.3088	4.738571097
50	86.6262	4.927263477
52	89.9436	5.115955857
54	93.261	5.304648237
56	96.5784	5.493340617
58	99.8958	5.682032997
60	103.2132	5.870725377
62	106.5306	6.059417757
64	109.848	6.248110138
66	113.1654	6.436802518
68	116.4828	6.625494898
70	119.8002	6.814187278
72	123.1176	7.002879658
74	126.435	7.191572038
76	129.7524	7.380264418
78	133.0698	7.568956798
80	136.3872	7.757649178
82	139.7046	7.946341559
84	143.022	8.135033939
86	146.3394	8.323726319
88	149.6568	8.512418699
90	152.9742	8.701111079
92	156.2916	8.889803459
94	159.609	9.078495839
96	162.9264	9.267188219
98	166.2438	9.455880599
100	169.5612	9.64457298
