m	oa	l50	sr
70	10	7.62	0.61
70	15	10.91	0.77
70	20	13.31	0.77
70	25	14.57	0.86
70	30	15.43	1.1
70	35	15.76	1.07
70	40	15.71	0.87
70	45	15.63	1.05
70	50	15.53	1.08
70	55	15.11	1.07
70	60	14.71	0.87
70	65	14.32	1.06
70	70	14	1.08
70	75	13.45	0.88
70	80	12.95	0.81
70	85	12.46	0.6
70	90	11.99	0.9
80	10	8.63	0.48
80	15	12.31	0.72
80	20	15.05	0.83
80	25	16.61	1.16
80	30	17.34	1.38
80	35	17.92	1.34
80	40	18.02	1.12
80	45	17.79	1.22
80	50	17.5	1.34
80	55	16.94	1.2
80	60	16.76	1.15
80	65	16.3	0.98
80	70	16.05	1.02
80	75	15.56	1.12
80	80	15.08	0.93
80	85	14.41	1.05
80	90	13.77	1.01
90	10	9.71	0.79
90	15	13.84	0.82
90	20	16.85	0.61
90	25	18.51	1.28
90	30	19.51	1.34
90	35	20.13	1.33
90	40	20.46	1.43
90	45	20.38	1.34
90	50	19.84	1.34
90	55	19.7	1.23
90	60	19.39	1.29
90	65	18.78	1.2
90	70	18.05	1.14
90	75	17.31	1.51
90	80	16.72	1.11
90	85	16.21	0.93
90	90	15.71	1.11
100	10	10.82	0.72
100	15	15.38	1.01
100	20	18.75	1.17
100	25	20.46	1.37
100	30	21.49	1.85
100	35	22.26	1.84
100	40	22.71	1.74
100	45	22.63	1.87
100	50	22.13	1.86
100	55	21.68	1.85
100	60	21.23	1.67
100	65	20.89	1.46
100	70	20.41	1.68
100	75	19.7	1.23
100	80	19.09	1.43
100	85	18.18	1.27
100	90	17.11	1.36
110	10	11.86	0.83
110	15	17.01	0.87
110	20	20.39	1.27
110	25	22.44	1.88
110	30	23.77	1.59
110	35	24.46	1.56
110	40	24.82	1.42
110	45	24.88	1.46
110	50	24.55	1.51
110	55	24.3	1.6
110	60	23.75	1.71
110	65	22.99	1.84
110	70	22.34	1.92
110	75	21.45	1.66
110	80	20.89	1.46
110	85	20.26	1.45
110	90	19.51	1.34
120	10	12.92	0.91
120	15	18.39	0.72
120	20	22.08	1.73
120	25	24.41	1.57
120	30	25.91	1.78
120	35	27.07	1.65
120	40	27.55	1.69
120	45	27.5	1.74
120	50	27.29	1.94
120	55	26.77	2.13
120	60	25.85	1.74
120	65	25.22	1.67
120	70	24.6	1.48
120	75	23.93	1.59
120	80	22.94	1.77
120	85	21.97	1.87
120	90	21.08	1.46
130	10	13.96	0.82
130	15	19.82	1
130	20	23.84	1.51
130	25	26.34	1.73
130	30	28.32	1.88
130	35	29.56	1.99
130	40	29.93	1.76
130	45	30.14	1.8
130	50	29.66	1.71
130	55	29.21	1.91
130	60	28.65	1.86
130	65	27.72	2.04
130	70	27.02	2.16
130	75	25.91	1.69
130	80	24.94	1.75
130	85	24.03	1.55
130	90	22.89	1.86
140	10	15.18	1
140	15	21.27	1.31
140	20	25.61	1.6
140	25	28.38	2.13
140	30	30.14	1.91
140	35	31.63	2.08
140	40	32.35	2.06
140	45	32.35	2.04
140	50	32.29	1.98
140	55	31.67	2.12
140	60	30.8	2.04
140	65	30.26	2.05
140	70	29.18	1.86
140	75	28.34	1.87
140	80	27.21	2.05
140	85	25.99	1.82
140	90	24.8	1.83
150	10	16.32	1.17
150	15	22.77	1.18
150	20	27.47	1.74
150	25	30.23	1.96
150	30	32.36	2.21
150	35	33.65	2.29
150	40	34.28	2.05
150	45	34.38	2.11
150	50	34.03	2.03
150	55	33.61	1.92
150	60	33.04	1.75
150	65	32.44	2.01
150	70	31.48	1.97
150	75	30.53	2.08
150	80	29.35	1.9
150	85	28.26	1.89
150	90	27.05	2.16
160	10	17.28	0.98
160	15	24.49	1.03
160	20	28.98	1.89
160	25	31.85	2.21
160	30	34.26	2.31
160	35	35.67	2.4
160	40	36.68	2.73
160	45	36.68	2.66
160	50	36.57	2.41
160	55	36.04	2.39
160	60	35.32	2.39
160	65	34.25	2.11
160	70	33.58	2.09
160	75	32.5	2.05
160	80	31.52	2.1
160	85	30.41	2.03
160	90	28.98	1.89
170	10	18.38	0.91
170	15	25.53	1.23
170	20	30.55	1.82
170	25	33.94	2.41
170	30	36.18	2.74
170	35	37.64	2.62
