bar_dist	l50	sr
10	15.36	1.582544662
12	17.9	1.8442415
14	20.44	2.105938339
16	22.98	2.367635177
18	25.52	2.629332016
20	28.06	2.891028855
22	30.6	3.152725693
24	33.14	3.414422532
26	35.68	3.67611937
28	38.22	3.937816209
30	40.76	4.199513048
32	43.3	4.461209886
34	45.84	4.722906725
36	48.38	4.984603563
38	50.92	5.246300402
40	53.46	5.507997241
42	56	5.769694079
44	58.54	6.031390918
46	61.08	6.293087756
48	63.62	6.554784595
50	66.16	6.816481433
52	68.7	7.078178272
54	71.24	7.339875111
56	73.78	7.601571949
58	76.32	7.863268788
60	78.86	8.124965626
62	81.4	8.386662465
64	83.94	8.648359304
66	86.48	8.910056142
68	89.02	9.171752981
70	91.56	9.433449819
72	94.1	9.695146658
74	96.64	9.956843496
76	99.18	10.21854034
78	101.72	10.48023717
80	104.26	10.74193401
82	106.8	11.00363085
84	109.34	11.26532769
86	111.88	11.52702453
88	114.42	11.78872137
90	116.96	12.05041821
92	119.5	12.31211504
94	122.04	12.57381188
96	124.58	12.83550872
98	127.12	13.09720556
100	129.66	13.3589024
