m	oa	l50	sr
70	10	8.02	0.57
70	15	11.06	0.56
70	20	13.59	0.78
70	25	16.12	1.06
70	30	17.89	0.8
70	35	19.81	1.02
70	40	21.35	0.93
70	45	22.96	1.07
70	50	24.13	0.88
70	55	25	0.91
70	60	25.7	1.27
70	65	26.04	2.05
70	70	26.17	2.45
70	75	25.81	2.35
70	80	25.3	1.89
70	85	25.26	1.2
70	90	26.06	0.9
80	10	8.84	0.7
80	15	12.03	0.73
80	20	15.44	1.16
80	25	17.7	0.74
80	30	20.37	1.05
80	35	22.24	1.09
80	40	24.2	0.96
80	45	25.73	1.22
80	50	26.84	1.41
80	55	28.14	1.25
80	60	29	1.31
80	65	29.5	2.14
80	70	29.8	2.58
80	75	29.16	2.79
80	80	29.14	2.18
80	85	28.92	1.3
80	90	29.68	1.31
90	10	9.87	0.7
90	15	13.39	0.66
90	20	16.68	1.09
90	25	19.6	1.26
90	30	22.24	1.23
90	35	24.65	0.89
90	40	26.58	1.3
90	45	28.46	1.44
90	50	30.12	1.36
90	55	31.34	1.4
90	60	32.73	1.67
90	65	32.97	2.48
90	70	33.18	2.87
90	75	32.8	2.8
90	80	32.51	2.4
90	85	32.66	1.4
90	90	33.2	1.2
100	10	10.87	0.58
100	15	14.8	1.23
100	20	18.2	1.17
100	25	21.25	0.97
100	30	24.45	0.86
100	35	26.77	1.5
100	40	29.14	1.46
100	45	31.38	1.45
100	50	33.41	1.51
100	55	34.46	1.64
100	60	35.57	1.91
100	65	36.05	2.77
100	70	36.51	2.96
100	75	36.67	3.09
100	80	36.2	2.64
100	85	35.9	1.64
100	90	36.53	1.48
110	10	11.65	0.66
110	15	16.02	1.13
110	20	19.64	1.21
110	25	23.34	1.27
110	30	26.27	1.55
110	35	29.14	1.5
110	40	32.11	1.86
110	45	34.17	1.39
110	50	36	2.09
110	55	37.66	1.26
110	60	38.22	2.36
110	65	38.94	2.87
110	70	39	3.41
110	75	39.12	3.49
110	80	39.35	2.22
110	85	38.94	1.48
110	90	39.68	1.25
120	10	12.37	0.88
120	15	17.06	0.97
120	20	21.08	1.14
120	25	25.12	1.15
120	30	28.49	1.44
120	35	31.83	1.95
120	40	34.35	1.63
120	45	36.73	2.05
120	50	38.46	1.46
120	55	40.24	1.81
120	60	41.42	2.61
120	65	42.08	3.24
120	70	42.78	3.12
120	75	42.67	3.23
120	80	42.29	2.76
120	85	42.31	1.61
120	90	42.94	1.63
130	10	13.3	0.63
130	15	18.13	1.18
130	20	22.79	1.4
130	25	26.69	1.48
130	30	30.38	1.45
130	35	34.14	1.46
130	40	36.77	2.08
130	45	39.2	1.93
130	50	41.54	1.71
130	55	43.31	2.11
130	60	44.81	2.16
130	65	45.53	2.78
130	70	45.56	4.07
130	75	45.84	4.08
130	80	45.99	3.31
130	85	45.64	1.68
130	90	46.47	1.64
140	10	14.19	0.89
140	15	19.18	1.29
140	20	24.12	1.07
140	25	28.46	1.52
140	30	32.95	1.88
140	35	36.23	2.14
140	40	39.01	1.94
140	45	41.71	1.85
140	50	44.25	2.23
140	55	46.16	1.84
140	60	47.88	2.53
140	65	48.85	2.99
140	70	49.37	3.96
140	75	48.93	3.96
140	80	49.32	2.77
140	85	49.25	1.88
140	90	49.93	1.69
150	10	15.12	1.3
150	15	20.59	1.2
150	20	25.53	1.24
150	25	30.25	1.54
150	30	34.57	1.94
150	35	37.98	1.54
150	40	41.4	1.93
150	45	44.44	2.11
150	50	46.81	2.19
150	55	49.19	2.2
150	60	50.79	2.41
150	65	51.78	3.62
150	70	52.68	3.75
150	75	52.48	3.86
150	80	51.87	3.19
150	85	52.77	1.79
150	90	53.49	2.09
160	10	15.89	1.16
160	15	21.41	1.27
160	20	26.73	1.51
160	25	32.33	2.07
160	30	36.46	2.09
160	35	40.21	2.22
160	40	43.82	2.25
160	45	46.81	2.19
160	50	49.77	2.22
160	55	51.97	2.39
160	60	53.67	3.01
160	65	54.78	3.55
160	70	55.65	4.34
160	75	55.82	3.9
160	80	55.67	3.47
160	85	55.48	1.93
160	90	56.48	2.19
170	10	16.46	1.23
170	15	22.89	1.48
170	20	28.28	1.69
170	25	33.95	1.87
170	30	38.06	1.9
170	35	42.52	2.35
170	40	46.32	2.24
170	45	49.51	2.44
170	50	52.3	2.57
170	55	54.92	2.38
170	60	56.65	2.87
170	65	57.78	4.69
170	70	59.23	4.16
170	75	58.92	4.32
170	80	58.62	3.68
170	85	58.79	2.4
170	90	60.18	2.2
180	10	17.29	1.06
180	15	23.81	1.2
180	20	29.87	1.78
180	25	35.17	2.23
180	30	40.02	2.26
180	35	44.5	2.34
180	40	48.69	2.35
180	45	51.97	2.6
180	50	55.11	2.61
180	55	57.5	2.89
180	60	59.66	3.64
180	65	61.61	3.4
180	70	62.12	4.32
180	75	61.83	5.02
180	80	62.46	3.31
180	85	62.44	2.5
180	90	63.53	2.17
190	10	18.01	1.11
190	15	24.95	1.18
190	20	31.3	2.2
190	25	36.89	2.33
190	30	41.81	2.29
190	35	46.65	2.25
190	40	50.78	2.17
190	45	54.46	2.67
190	50	57.53	3
190	55	60.66	2.8
190	60	63.05	3.05
190	65	64.32	4
190	70	65.01	5
190	75	65.31	4.43
190	80	65.62	3.72
190	85	65.27	2.17
190	90	66.33	2.32
200	10	18.79	0.99
200	15	25.99	1.6
200	20	33.06	1.95
200	25	38.34	1.93
200	30	43.88	2.55
200	35	48.89	2.49
200	40	53.07	2.79
200	45	56.91	2.91
200	50	60.42	2.98
200	55	63.46	3.04
200	60	65.62	3.79
200	65	66.85	5.27
200	70	68.09	4.93
200	75	68.66	5.33
200	80	68.82	4.47
200	85	68.47	2.88
200	90	69.77	3.14
