bar_dist	l50	sr
10	15.4124	1.0041
12	16.8774	1.0921
14	18.3424	1.1801
16	19.8074	1.2681
18	21.2724	1.3561
20	22.7374	1.4441
22	24.2024	1.5321
24	25.6674	1.6201
26	27.1324	1.7081
28	28.5974	1.7961
30	30.0624	1.8841
32	31.5274	1.9721
34	32.9924	2.0601
36	34.4574	2.1481
38	35.9224	2.2361
40	37.3874	2.3241
42	38.8524	2.4121
44	40.3174	2.5001
46	41.7824	2.5881
48	43.2474	2.6761
50	44.7124	2.7641
52	46.1774	2.8521
54	47.6424	2.9401
56	49.1074	3.0281
58	50.5724	3.1161
60	52.0374	3.2041
62	53.5024	3.2921
64	54.9674	3.3801
66	56.4324	3.4681
68	57.8974	3.5561
70	59.3624	3.6441
72	60.8274	3.7321
74	62.2924	3.8201
76	63.7574	3.9081
78	65.2224	3.9961
80	66.6874	4.0841
82	68.1524	4.1721
84	69.6174	4.2601
86	71.0824	4.3481
88	72.5474	4.4361
90	74.0124	4.5241
92	75.4774	4.6121
94	76.9424	4.7001
96	78.4074	4.7881
98	79.8724	4.8761
100	81.3374	4.9641
